,PassengerId,Pclass,Sex,Age,Fare,Embarked,Title,Name_length,LuckyElizabeth,LuckyAnna,LuckyMary,Family,Alone,Fsize,Cabin_Lv,Survived
0,1,3,1,22.0,7.25,2,2,21,0,0,0,1,0,2,4,0
1,2,1,0,38.0,71.2833,0,3,48,0,0,0,1,0,2,2,1
2,3,3,0,26.0,7.925,2,1,18,0,0,0,0,1,0,4,1
3,4,1,0,35.0,53.1,2,3,41,0,0,0,1,0,2,2,1
4,5,3,1,35.0,8.05,2,2,22,0,0,0,0,1,0,4,0
5,6,3,1,26.0,8.4583,1,2,14,0,0,0,0,1,0,4,0
6,7,1,1,54.0,51.8625,2,2,21,0,0,0,0,1,0,4,0
7,8,3,1,2.0,21.075,2,0,24,0,0,0,4,0,2,4,0
8,9,3,0,27.0,11.1333,2,3,46,0,0,0,2,0,2,4,1
9,10,2,0,14.0,30.0708,0,3,32,0,0,0,1,0,2,4,1
10,11,3,0,4.0,16.7,2,1,27,0,0,0,2,0,2,6,1
11,12,1,0,58.0,26.55,2,1,20,1,0,0,0,1,0,2,1
12,13,3,1,20.0,8.05,2,2,28,0,0,0,0,1,0,4,0
13,14,3,1,39.0,31.275,2,2,25,0,0,0,6,0,1,4,0
14,15,3,0,14.0,7.8542,2,1,32,0,0,0,0,1,0,4,0
15,16,2,0,55.0,16.0,2,3,29,0,0,1,0,1,0,4,1
16,17,3,1,2.0,29.125,1,0,14,0,0,0,5,0,1,4,0
17,18,2,1,30.0,13.0,2,2,26,0,0,0,0,1,0,4,1
18,19,3,0,31.0,18.0,2,3,52,0,0,0,1,0,2,4,0
19,20,3,0,22.0,7.225,0,3,20,0,0,0,0,1,0,4,1
20,21,2,1,35.0,26.0,2,2,18,0,0,0,0,1,0,4,0
21,22,2,1,34.0,13.0,2,2,19,0,0,0,0,1,0,3,1
22,23,3,0,15.0,8.0292,1,1,23,0,1,0,0,1,0,4,1
23,24,1,1,28.0,35.5,2,2,26,0,0,0,0,1,0,0,1
24,25,3,0,8.0,21.075,2,1,25,0,0,0,4,0,2,4,0
25,26,3,0,38.0,31.3875,2,3,54,0,0,0,6,0,1,4,1
26,27,3,1,26.0,7.225,0,2,21,0,0,0,0,1,0,4,0
27,28,1,1,19.0,263.0,2,2,28,0,0,0,5,0,1,2,0
28,29,3,0,22.0,7.8792,1,1,25,0,0,0,0,1,0,4,1
29,30,3,1,26.0,7.8958,2,2,17,0,0,0,0,1,0,4,0
30,31,1,1,40.0,27.7208,0,4,20,0,0,0,0,1,0,3,0
31,32,1,0,35.0,146.5208,0,3,43,0,0,0,1,0,2,1,1
32,33,3,0,22.0,7.75,1,1,20,0,0,1,0,1,0,4,1
33,34,2,1,66.0,10.5,2,2,19,0,0,0,0,1,0,4,0
34,35,1,1,28.0,82.1708,0,2,21,0,0,0,1,0,2,3,0
35,36,1,1,42.0,52.0,2,2,28,0,0,0,1,0,2,3,0
36,37,3,1,26.0,7.2292,0,2,14,0,0,0,0,1,0,4,1
37,38,3,1,21.0,8.05,2,2,22,0,0,0,0,1,0,4,0
38,39,3,0,18.0,18.0,2,1,30,0,0,0,2,0,2,4,0
39,40,3,0,14.0,11.2417,0,1,23,0,0,0,1,0,2,4,1
40,41,3,0,40.0,9.475,2,3,43,0,0,0,1,0,2,4,0
41,42,2,0,27.0,21.0,2,3,53,0,0,0,1,0,2,4,0
42,43,3,1,26.0,7.8958,0,2,17,0,0,0,0,1,0,4,0
43,44,2,0,3.0,41.5792,0,1,36,0,0,0,3,0,2,4,1
44,45,3,0,19.0,7.8792,1,1,25,0,0,0,0,1,0,4,1
45,46,3,1,26.0,8.05,2,2,22,0,0,0,0,1,0,4,0
46,47,3,1,26.0,15.5,1,2,15,0,0,0,1,0,2,4,0
47,48,3,0,22.0,7.75,1,1,21,0,0,0,0,1,0,4,1
48,49,3,1,26.0,21.6792,0,2,17,0,0,0,2,0,2,4,0
49,50,3,0,18.0,17.8,2,3,42,0,0,0,1,0,2,4,0
50,51,3,1,7.0,39.6875,2,0,20,0,0,0,5,0,1,4,0
51,52,3,1,21.0,7.8,2,2,26,0,0,0,0,1,0,4,0
52,53,1,0,49.0,76.7292,0,3,37,0,0,0,1,0,2,3,1
53,54,2,0,29.0,26.0,2,3,47,1,0,0,1,0,2,4,1
54,55,1,1,65.0,61.9792,0,2,28,0,0,0,1,0,2,1,0
55,56,1,1,42.0,35.5,2,2,15,0,0,0,0,1,0,2,1
56,57,2,0,21.0,10.5,2,1,13,0,0,0,0,1,0,4,1
57,58,3,1,28.5,7.2292,0,2,17,0,0,0,0,1,0,4,0
58,59,2,0,5.0,27.75,2,1,24,0,0,0,3,0,2,4,1
59,60,3,1,11.0,46.9,2,0,28,0,0,0,7,0,1,4,0
